date,state,n_killed,n_injured,n_total
8/2/13,Indiana,0,4,4
8/2/13,New Jersey,2,3,5
8/3/13,Michigan,0,5,5
8/4/13,California,3,4,7
8/4/13,Missouri,1,3,4
8/5/13,Pennsylvania,1,0,1
8/6/13,Pennsylvania,3,4,7
8/6/13,New Jersey,0,4,4
8/7/13,Texas,4,4,8
8/9/13,Missouri,2,2,4
8/10/13,Delaware,0,4,4
8/11/13,New York,0,4,4
8/11/13,Virginia,1,4,5
8/13/13,Pennsylvania,0,4,4
8/14/13,Oklahoma,4,0,4
8/17/13,Pennsylvania,1,0,1
8/17/13,California,0,4,4
8/18/13,New Jersey,0,4,4
8/18/13,Ohio,0,4,4
8/18/13,South Carolina,1,4,5
8/18/13,Illinois,1,3,4
8/19/13,Illinois,1,4,5
8/20/13,Maryland,2,2,4
8/23/13,New Jersey,1,0,1
8/25/13,South Carolina,1,3,4
8/25/13,Minnesota,2,2,4
8/25/13,Florida,4,1,5
8/25/13,California,0,4,4
9/5/13,North Carolina,0,4,4
9/7/13,Missouri,1,3,4
9/7/13,Indiana,2,4,6
9/10/13,Connecticut,1,4,5
9/11/13,New York,0,4,4
9/12/13,Tennessee,4,0,4
9/12/13,District of Columbia,1,3,4
9/14/13,North Carolina,0,4,4
9/15/13,Colorado,0,5,5
9/15/13,Georgia,3,1,4
9/15/13,Washington,0,6,6
9/16/13,District of Columbia,11,3,14
9/17/13,California,2,3,5
9/17/13,Michigan,0,4,4
9/17/13,Nevada,0,4,4
9/17/13,Florida,0,5,5
9/18/13,Tennessee,1,4,5
9/19/13,Illinois,0,12,12
9/20/13,California,2,2,4
9/20/13,Texas,5,0,5
9/21/13,Florida,0,4,4
9/22/13,Missouri,1,3,4
9/22/13,Michigan,2,4,6
9/22/13,Kansas,1,6,7
9/24/13,West Virginia,0,6,6
9/25/13,North Carolina,0,4,4
9/27/13,Ohio,0,4,4
9/29/13,Illinois,0,4,4
10/2/13,Nebraska,0,4,4
10/5/13,Indiana,1,1,2
10/5/13,California,1,12,13
10/5/13,New York,0,4,4
10/6/13,Arizona,0,4,4
10/6/13,Pennsylvania,1,5,6
10/7/13,New Jersey,1,0,1
10/9/13,Texas,4,0,4
10/12/13,Oklahoma,0,5,5
10/13/13,Pennsylvania,1,0,1
10/13/13,Pennsylvania,0,8,8
10/20/13,Florida,0,4,4
10/20/13,Florida,2,2,4
10/21/13,Pennsylvania,2,5,7
10/26/13,Connecticut,1,5,6
10/26/13,Florida,0,4,4
10/26/13,Arizona,5,0,5
10/27/13,Texas,0,4,4
10/27/13,California,0,4,4
10/27/13,North Carolina,1,4,5
10/27/13,California,1,6,7
10/29/13,South Carolina,5,0,5
11/2/13,Kentucky,1,3,4
11/3/13,California,0,5,5
11/3/13,California,1,3,4
11/5/13,District of Columbia,0,4,4
11/5/13,Florida,4,0,4
11/7/13,Michigan,3,7,10
11/9/13,Texas,2,16,18
11/10/13,Ohio,1,3,4
11/10/13,Arizona,1,3,4
11/11/13,New York,4,1,5
11/15/13,Texas,1,3,4
11/20/13,Texas,3,2,5
11/21/13,Pennsylvania,0,4,4
11/22/13,Pennsylvania,0,1,1
11/22/13,Pennsylvania,0,1,1
11/23/13,Oklahoma,4,1,5
11/25/13,California,0,7,7
11/25/13,Minnesota,1,3,4
11/28/13,New York,0,4,4
11/29/13,Indiana,0,4,4
11/29/13,California,0,4,4
11/30/13,Georgia,0,4,4
11/30/13,Michigan,0,5,5
12/1/13,Florida,2,2,4
12/1/13,Pennsylvania,1,0,1
12/1/13,Kansas,4,0,4
12/7/13,Delaware,0,4,4
12/7/13,Pennsylvania,1,0,1
12/14/13,North Carolina,0,4,4
12/15/13,Texas,0,5,5
12/15/13,Florida,1,3,4
12/21/13,New Jersey,1,4,5
12/21/13,North Carolina,0,4,4
12/22/13,Michigan,1,3,4
12/25/13,New York,1,3,4
12/25/13,New Jersey,1,0,1
12/25/13,New Jersey,3,2,5
12/26/13,Louisiana,3,3,6
12/26/13,Louisiana,2,6,8
12/28/13,Alabama,3,5,8
12/29/13,California,0,2,2
12/29/13,New Jersey,1,0,1
12/31/13,Ohio,3,1,4
12/31/13,New York,0,6,6
12/31/13,California,1,0,1
1/1/14,New York,1,0,1
1/1/14,New York,0,1,1
1/1/14,Missouri,0,1,1
1/1/14,Georgia,0,1,1
1/1/14,New York,0,1,1
1/1/14,Georgia,0,1,1
1/1/14,Virginia,0,1,1
1/1/14,Pennsylvania,0,1,1
1/1/14,South Carolina,1,0,1
1/1/14,Delaware,1,0,1
1/1/14,Colorado,1,0,1
1/1/14,South Carolina,0,1,1
1/1/14,Alabama,1,0,1
1/1/14,New Jersey,0,1,1
1/1/14,Louisiana,1,0,1
1/1/14,Utah,0,1,1
1/1/14,Indiana,0,1,1
1/1/14,Louisiana,1,0,1
1/1/14,New York,0,1,1
1/1/14,Colorado,0,1,1
1/1/14,New York,0,1,1
1/1/14,Texas,0,2,2
1/1/14,Massachusetts,0,1,1
1/1/14,Louisiana,1,0,1
1/1/14,Alabama,0,3,3
1/1/14,Mississippi,1,0,1
1/1/14,South Carolina,0,1,1
1/1/14,Alabama,1,0,1
1/1/14,Arizona,3,0,3
1/1/14,Hawaii,1,0,1
1/1/14,Washington,0,1,1
1/1/14,Florida,0,3,3
1/1/14,Florida,1,0,1
1/1/14,Kentucky,0,1,1
1/1/14,Florida,1,1,2
1/1/14,Ohio,0,1,1
1/1/14,Kansas,0,1,1
1/1/14,Indiana,1,0,1
1/1/14,Louisiana,0,2,2
1/1/14,Maryland,1,0,1
1/1/14,Texas,1,0,1
1/1/14,Florida,0,1,1
1/1/14,Rhode Island,0,2,2
1/1/14,North Carolina,0,1,1
1/1/14,Florida,0,2,2
1/1/14,North Carolina,0,1,1
1/1/14,New York,1,0,1
1/1/14,Maryland,0,1,1
1/1/14,Virginia,2,2,4
1/1/14,Texas,0,1,1
1/1/14,California,1,0,1
1/1/14,Maryland,1,0,1
1/1/14,California,2,0,2
1/1/14,California,0,1,1
1/1/14,Texas,1,1,2
1/1/14,Washington,0,1,1
1/1/14,Illinois,0,2,2
1/1/14,New Jersey,0,2,2
1/1/14,Washington,0,1,1
1/1/14,New Jersey,0,1,1
1/1/14,New York,0,2,2
1/1/14,Mississippi,0,1,1
1/1/14,South Carolina,0,1,1
1/1/14,South Carolina,1,0,1
1/1/14,Connecticut,0,1,1
1/1/14,Kentucky,0,1,1
1/1/14,Illinois,0,4,4
1/1/14,New York,1,0,1
1/1/14,Oklahoma,0,2,2
1/1/14,Alabama,0,1,1
1/1/14,Georgia,0,1,1
1/1/14,Pennsylvania,0,1,1
1/1/14,New Jersey,0,3,3
1/1/14,Indiana,0,3,3
1/1/14,North Carolina,0,1,1
1/1/14,Colorado,0,1,1
1/1/14,Connecticut,0,1,1
1/1/14,Mississippi,1,0,1
1/1/14,Alabama,1,0,1
1/1/14,Maryland,2,0,2
1/1/14,Michigan,0,1,1
1/1/14,California,0,1,1
1/1/14,Kansas,1,0,1
1/1/14,Michigan,2,2,4
1/1/14,Louisiana,0,1,1
1/1/14,New York,0,1,1
1/1/14,New York,0,1,1
1/1/14,Colorado,1,0,1
1/1/14,Texas,0,1,1
1/1/14,Wisconsin,0,1,1
1/1/14,Ohio,0,1,1
1/1/14,Florida,1,1,2
1/1/14,Texas,0,1,1
1/1/14,Virginia,1,0,1
1/1/14,Texas,0,1,1
1/1/14,New Jersey,0,1,1
1/1/14,Virginia,0,1,1
1/1/14,Pennsylvania,0,1,1
1/1/14,Texas,0,1,1
1/1/14,Virginia,0,1,1
1/1/14,Massachusetts,0,1,1
1/1/14,Maryland,0,1,1
1/1/14,Virginia,0,1,1
1/1/14,Wisconsin,0,1,1
1/1/14,Maryland,0,1,1
1/1/14,Virginia,0,1,1
1/1/14,Louisiana,1,0,1
1/1/14,Oklahoma,1,0,1
1/1/14,Indiana,0,1,1
1/1/14,California,0,2,2
1/1/14,Arkansas,0,1,1
1/1/14,Alaska,0,1,1
1/1/14,Missouri,0,2,2
1/1/14,Kentucky,0,1,1
1/1/14,Washington,0,1,1
1/1/14,Michigan,0,2,2
1/1/14,Kentucky,0,1,1
1/1/14,Illinois,0,1,1
1/1/14,Michigan,0,1,1
1/1/14,Kentucky,0,1,1
1/1/14,Florida,0,1,1
1/1/14,Florida,2,0,2
1/1/14,New Jersey,1,0,1
1/1/14,Iowa,0,1,1
1/1/14,Alabama,0,2,2
1/1/14,North Carolina,1,1,2
1/1/14,Illinois,0,1,1
1/1/14,North Carolina,0,1,1
1/1/14,Michigan,1,2,3
1/1/14,Louisiana,0,1,1
1/1/14,Kentucky,0,1,1
1/1/14,New York,0,1,1
1/1/14,New York,0,3,3
1/1/14,Virginia,1,0,1
1/1/14,West Virginia,0,1,1
1/1/14,New York,1,1,2
1/1/14,Florida,1,0,1
1/1/14,North Carolina,1,0,1
1/1/14,Florida,0,1,1
1/2/14,Maryland,1,0,1
1/2/14,Florida,0,1,1
1/2/14,California,0,1,1
1/2/14,California,1,0,1
1/2/14,Maryland,2,0,2
1/2/14,Indiana,1,0,1
1/2/14,Alabama,0,1,1
1/2/14,Missouri,1,0,1
1/2/14,Florida,0,1,1
1/2/14,Florida,1,2,3
1/2/14,Florida,1,1,2
1/2/14,Texas,0,1,1
1/2/14,Alabama,1,0,1
1/2/14,Indiana,1,0,1
1/2/14,South Carolina,0,1,1
1/2/14,Arizona,0,1,1
1/2/14,Arizona,0,1,1
1/2/14,Indiana,1,0,1
1/2/14,Pennsylvania,0,1,1
1/2/14,Michigan,0,1,1
1/2/14,Colorado,1,0,1
1/2/14,Colorado,1,0,1
1/2/14,South Carolina,0,1,1
1/2/14,California,1,0,1
1/2/14,Indiana,0,1,1
1/2/14,New Jersey,0,1,1
1/2/14,Georgia,1,0,1
1/2/14,Wyoming,0,1,1
1/2/14,Louisiana,0,1,1
1/2/14,Tennessee,2,0,2
1/2/14,Florida,1,0,1
1/2/14,Arkansas,0,1,1
1/2/14,Louisiana,0,1,1
1/2/14,Pennsylvania,0,1,1
1/2/14,Texas,0,1,1
1/2/14,Washington,0,1,1
1/2/14,New York,0,1,1
1/2/14,Kentucky,0,1,1
1/2/14,Florida,0,1,1
1/2/14,Florida,0,1,1
1/2/14,Florida,0,1,1
1/2/14,Florida,0,1,1
1/2/14,Florida,0,1,1
1/2/14,Mississippi,0,1,1
1/2/14,California,0,1,1
1/2/14,Mississippi,1,0,1
1/2/14,Colorado,1,0,1
1/2/14,Virginia,0,2,2
1/2/14,Louisiana,0,1,1
1/2/14,Tennessee,0,1,1
1/2/14,Michigan,0,1,1
1/2/14,Ohio,1,0,1
1/2/14,Michigan,0,1,1
1/2/14,Oklahoma,0,1,1
1/2/14,Pennsylvania,1,0,1
1/2/14,Texas,1,0,1
1/2/14,Texas,1,0,1
1/2/14,Texas,0,1,1
1/2/14,Iowa,0,1,1
1/2/14,Connecticut,0,1,1
1/2/14,Michigan,0,1,1
1/2/14,New Jersey,1,0,1
1/2/14,West Virginia,2,0,2
1/2/14,Nevada,0,2,2
1/2/14,Mississippi,1,0,1
1/2/14,Georgia,0,1,1
1/2/14,Alabama,1,0,1
1/2/14,North Carolina,0,1,1
1/2/14,Texas,0,1,1
1/3/14,New York,1,3,4
1/3/14,Kentucky,0,1,1
1/3/14,Louisiana,0,1,1
1/3/14,Texas,0,1,1
1/3/14,Louisiana,0,1,1
1/3/14,Ohio,0,1,1
1/3/14,Louisiana,1,0,1
1/3/14,Mississippi,0,1,1
1/3/14,Oregon,1,0,1
1/3/14,Pennsylvania,0,1,1
1/3/14,Mississippi,0,1,1
1/3/14,Mississippi,0,2,2
1/3/14,Maryland,0,1,1
1/3/14,Louisiana,0,1,1
1/3/14,Nevada,1,0,1
1/3/14,Iowa,0,1,1
1/3/14,North Carolina,1,0,1
1/3/14,Illinois,1,0,1
1/3/14,Mississippi,2,0,2
1/3/14,Michigan,1,0,1
1/3/14,Arizona,0,1,1
1/3/14,Mississippi,0,1,1
1/3/14,Washington,0,1,1
1/3/14,North Carolina,0,1,1
1/3/14,Illinois,0,1,1
1/3/14,Washington,1,0,1
1/3/14,Michigan,0,1,1
1/3/14,Washington,1,0,1
1/3/14,Washington,1,0,1
1/3/14,Maryland,1,0,1
1/3/14,West Virginia,1,0,1
1/3/14,West Virginia,0,1,1
1/3/14,California,0,2,2
1/3/14,California,0,1,1
1/3/14,Arkansas,0,1,1
1/3/14,California,0,1,1
1/3/14,Washington,1,0,1
1/3/14,Pennsylvania,2,0,2
1/3/14,Oregon,1,1,2
1/3/14,New York,0,1,1
1/3/14,California,0,1,1
1/3/14,Louisiana,0,1,1
1/3/14,Louisiana,1,0,1
1/3/14,Iowa,0,1,1
1/3/14,Texas,1,2,3
1/3/14,Montana,1,0,1
1/3/14,Oklahoma,0,1,1
1/3/14,Iowa,0,1,1
1/3/14,Arkansas,0,1,1
1/3/14,Montana,1,0,1
1/3/14,California,0,1,1
1/3/14,Illinois,0,1,1
1/3/14,Washington,1,0,1
1/3/14,Ohio,1,0,1
1/3/14,Minnesota,1,1,2
1/3/14,Texas,1,0,1
1/3/14,California,1,0,1
1/3/14,Oklahoma,1,1,2
1/3/14,Illinois,1,0,1
1/3/14,Florida,1,1,2
1/3/14,Florida,1,1,2
1/3/14,Arizona,0,1,1
1/3/14,Michigan,1,0,1
1/3/14,Tennessee,0,1,1
1/3/14,Michigan,2,0,2
1/3/14,South Carolina,0,1,1
1/3/14,South Carolina,0,1,1
1/3/14,North Carolina,1,0,1
1/3/14,Pennsylvania,0,1,1
1/3/14,Kentucky,0,2,2
1/3/14,Washington,1,1,2
1/3/14,Maryland,0,1,1
1/3/14,Louisiana,0,2,2
1/3/14,Iowa,0,1,1
1/3/14,Wisconsin,1,0,1
1/3/14,Louisiana,0,1,1
1/3/14,Mississippi,0,2,2
1/4/14,New York,0,1,1
1/4/14,New Mexico,0,1,1
1/4/14,New York,0,1,1
1/4/14,Illinois,2,2,4
1/4/14,Virginia,1,0,1
1/4/14,Connecticut,1,0,1
1/4/14,New Jersey,0,1,1
1/4/14,Indiana,1,0,1
1/4/14,Pennsylvania,1,0,1
1/4/14,Tennessee,0,1,1
1/4/14,Alabama,0,1,1
1/4/14,Ohio,1,0,1
1/4/14,Louisiana,0,1,1
1/4/14,Florida,0,2,2
1/4/14,New York,1,1,2
1/4/14,Ohio,1,0,1
1/4/14,Kentucky,1,0,1
1/4/14,Texas,0,1,1
1/4/14,Kansas,1,0,1
1/4/14,New Jersey,1,0,1
1/4/14,New Jersey,0,1,1
1/4/14,California,1,0,1
1/4/14,New Jersey,0,1,1
1/4/14,Florida,0,1,1
1/4/14,North Carolina,1,0,1
1/4/14,Georgia,0,4,4
1/4/14,Florida,1,1,2
1/4/14,Louisiana,1,0,1
1/4/14,Ohio,0,1,1
1/4/14,Illinois,0,1,1
1/4/14,South Carolina,0,1,1
1/4/14,Pennsylvania,0,2,2
1/4/14,Florida,1,0,1
1/4/14,Washington,1,0,1
1/4/14,Delaware,0,1,1
1/4/14,California,0,1,1
1/4/14,Colorado,1,0,1
1/4/14,Texas,1,0,1
1/4/14,Louisiana,0,1,1
1/4/14,South Carolina,0,1,1
1/4/14,Georgia,1,1,2
1/4/14,New York,1,0,1
1/4/14,Illinois,0,1,1
1/4/14,Louisiana,0,1,1
1/4/14,Florida,2,1,3
1/4/14,California,0,1,1
1/4/14,Ohio,0,1,1
1/4/14,Iowa,0,1,1
1/4/14,Texas,1,0,1
1/4/14,Pennsylvania,1,0,1
1/4/14,Washington,1,0,1
1/4/14,New York,0,1,1
1/4/14,Georgia,0,1,1
1/4/14,Colorado,0,1,1
1/4/14,New York,0,3,3
1/4/14,California,0,1,1
1/4/14,Washington,0,1,1
1/4/14,New Mexico,0,1,1
1/4/14,New York,0,2,2
1/4/14,Illinois,0,1,1
1/4/14,Arizona,1,0,1
1/4/14,Texas,1,0,1
1/4/14,Texas,0,2,2
1/4/14,Florida,1,0,1
1/4/14,Illinois,0,1,1
1/4/14,Florida,0,1,1
1/4/14,New Jersey,0,1,1
1/4/14,Florida,0,1,1
1/4/14,Virginia,0,1,1
1/4/14,Florida,1,0,1
1/4/14,Virginia,0,1,1
1/4/14,Delaware,1,0,1
1/4/14,Florida,0,1,1
1/4/14,Pennsylvania,0,1,1
1/4/14,Michigan,0,1,1
1/4/14,Texas,1,2,3
1/4/14,Indiana,0,1,1
1/4/14,Illinois,0,2,2
1/4/14,California,0,2,2
1/4/14,California,1,0,1
1/4/14,New York,0,1,1
1/4/14,Alabama,1,0,1
1/4/14,Texas,1,0,1
1/4/14,Louisiana,0,1,1
1/4/14,North Carolina,1,1,2
1/4/14,Texas,0,1,1
1/4/14,Missouri,0,1,1
1/4/14,New Jersey,0,1,1
1/5/14,Missouri,2,0,2
1/5/14,California,0,1,1
1/5/14,New Jersey,0,1,1
1/5/14,California,1,2,3
1/5/14,Mississippi,0,1,1
1/5/14,Ohio,1,0,1
1/5/14,Maryland,0,1,1
1/5/14,Georgia,0,1,1
1/5/14,Maryland,0,1,1
1/5/14,Indiana,1,1,2
1/5/14,Illinois,1,0,1
1/5/14,Texas,1,0,1
1/5/14,Texas,0,1,1
1/5/14,California,0,1,1
1/5/14,California,0,1,1
1/5/14,Louisiana,0,1,1
1/5/14,North Carolina,0,1,1
1/5/14,North Carolina,1,0,1
1/5/14,Louisiana,0,1,1
1/5/14,Arkansas,0,1,1
1/5/14,Louisiana,0,3,3
1/5/14,Pennsylvania,0,1,1
1/5/14,Louisiana,1,0,1
1/5/14,Alabama,0,1,1
1/5/14,New Jersey,1,0,1
1/5/14,North Carolina,0,1,1
1/5/14,Iowa,0,1,1
1/5/14,Ohio,1,3,4
1/5/14,North Carolina,1,0,1
1/5/14,Georgia,0,1,1
1/5/14,New York,1,0,1
1/5/14,New Jersey,0,1,1
1/5/14,Pennsylvania,1,0,1
1/5/14,Louisiana,0,2,2
1/5/14,Delaware,0,2,2
1/5/14,Florida,1,2,3
1/5/14,Texas,0,1,1
1/5/14,California,1,0,1
1/5/14,Washington,0,1,1
1/5/14,Georgia,0,2,2
1/5/14,New Jersey,0,1,1
1/5/14,Florida,1,0,1
1/5/14,Arkansas,1,0,1
1/5/14,Massachusetts,1,0,1
1/5/14,Texas,0,1,1
1/5/14,Pennsylvania,2,1,3
1/5/14,Michigan,0,1,1
1/5/14,Alabama,1,0,1
1/5/14,New Jersey,0,1,1
1/5/14,Florida,0,1,1
1/5/14,Florida,0,1,1
1/5/14,Connecticut,0,1,1
1/5/14,Florida,1,0,1
1/5/14,California,1,0,1
1/5/14,Michigan,1,0,1
1/5/14,Alabama,0,1,1
1/5/14,Pennsylvania,1,3,4
1/5/14,Maine,0,1,1
1/5/14,Florida,1,0,1
1/5/14,Massachusetts,0,1,1
1/5/14,New York,0,2,2
1/5/14,Washington,0,1,1
1/5/14,Florida,1,0,1
1/5/14,Texas,1,0,1
1/5/14,Florida,1,0,1
1/5/14,Florida,0,1,1
1/5/14,Maryland,0,1,1
1/5/14,Florida,0,1,1
1/5/14,Iowa,0,1,1
1/5/14,New York,1,0,1
1/5/14,Georgia,0,1,1
1/5/14,North Carolina,0,1,1
1/5/14,New Jersey,0,1,1
1/5/14,Nebraska,0,1,1
1/5/14,North Carolina,0,1,1
1/5/14,Tennessee,0,1,1
1/5/14,Nebraska,0,1,1
1/6/14,Montana,0,1,1
1/6/14,Tennessee,1,0,1
1/6/14,Louisiana,0,1,1
1/6/14,California,0,2,2
1/6/14,Virginia,0,1,1
1/6/14,New Jersey,1,0,1
1/6/14,Illinois,0,1,1
1/6/14,North Carolina,1,0,1
1/6/14,Louisiana,2,0,2
1/6/14,Oregon,0,1,1
1/6/14,Tennessee,0,1,1
1/6/14,Minnesota,1,0,1
1/6/14,Alabama,1,0,1
1/6/14,Florida,1,1,2
1/6/14,Georgia,0,1,1
1/6/14,Nebraska,0,1,1
1/6/14,Ohio,0,1,1
1/6/14,Indiana,1,0,1
1/6/14,Alabama,0,1,1
1/6/14,Tennessee,0,1,1
1/6/14,Tennessee,0,1,1
1/6/14,Missouri,1,1,2
1/6/14,Florida,1,0,1
1/6/14,North Carolina,0,1,1
1/6/14,Maryland,1,0,1
1/6/14,New York,1,0,1
1/6/14,Montana,2,0,2
1/6/14,Louisiana,0,1,1
1/6/14,South Carolina,1,0,1
1/6/14,New Jersey,0,1,1
1/6/14,Kentucky,1,0,1
1/6/14,Missouri,1,0,1
1/6/14,North Carolina,1,0,1
1/6/14,Maryland,1,0,1
1/6/14,Delaware,0,1,1
1/6/14,New Hampshire,1,0,1
1/6/14,California,0,1,1
1/6/14,New Hampshire,0,1,1
1/6/14,California,1,0,1
1/6/14,West Virginia,1,0,1
1/6/14,California,1,0,1
1/6/14,Minnesota,2,0,2
1/6/14,Florida,1,0,1
1/6/14,Indiana,1,0,1
1/6/14,Tennessee,0,1,1
1/6/14,Florida,0,1,1
1/6/14,North Carolina,1,0,1
1/6/14,Montana,0,1,1
1/7/14,Wisconsin,1,0,1
1/7/14,South Carolina,0,1,1
1/7/14,Oklahoma,0,1,1
1/7/14,Tennessee,0,1,1
1/7/14,Nebraska,2,0,2
1/7/14,California,1,0,1
1/7/14,California,0,2,2
1/7/14,Virginia,2,1,3
1/7/14,Virginia,0,2,2
1/7/14,South Carolina,0,1,1
1/7/14,South Carolina,0,1,1
1/7/14,South Carolina,0,2,2
1/7/14,Pennsylvania,1,0,1
1/7/14,Virginia,0,1,1
1/7/14,Kentucky,1,0,1
1/7/14,Texas,0,2,2
1/7/14,New Hampshire,0,1,1
1/7/14,Wyoming,1,0,1
1/7/14,North Carolina,0,1,1
1/7/14,Tennessee,0,1,1
1/7/14,Louisiana,0,1,1
1/7/14,Texas,1,0,1
1/7/14,New Mexico,1,0,1
1/7/14,Washington,1,1,2
1/7/14,Washington,0,1,1
1/7/14,Tennessee,0,1,1
1/7/14,North Carolina,1,0,1
1/7/14,Missouri,1,0,1
1/7/14,Missouri,1,0,1
1/7/14,California,0,1,1
1/7/14,Florida,0,1,1
1/7/14,Ohio,0,1,1
1/7/14,Louisiana,0,1,1
1/7/14,Alaska,1,0,1
1/7/14,Pennsylvania,1,0,1
1/7/14,Michigan,1,1,2
1/7/14,Indiana,2,0,2
1/7/14,North Carolina,0,2,2
1/7/14,South Carolina,0,1,1
1/7/14,California,0,2,2
1/7/14,California,0,1,1
1/7/14,New York,1,0,1
1/7/14,Delaware,0,1,1
1/7/14,Florida,0,1,1
1/7/14,Arizona,1,0,1
1/7/14,Georgia,0,1,1
1/7/14,Florida,1,0,1
